Date;Plus;
16.02.2023;0,00;
17.02.2023;0,00;
18.02.2023;0,00;
19.02.2023;0,00;
20.02.2023;0,00;
21.02.2023;0,03;
22.02.2023;0,00;
23.02.2023;0,00;
24.02.2023;0,00;
25.02.2023;0,05;
26.02.2023;0,00;
27.02.2023;0,00;
28.02.2023;0,00;
01.03.2023;0,00;
02.03.2023;0,00;
03.03.2023;0,00;
04.03.2023;0,00;
05.03.2023;0,13;
06.03.2023;0,08;
07.03.2023;0,03;
08.03.2023;0,15;
09.03.2023;0,20;
10.03.2023;0,00;
11.03.2023;0,00;
12.03.2023;0,00;
13.03.2023;0,10;
14.03.2023;0,00;
15.03.2023;0,00;
16.03.2023;0,20;
17.03.2023;0,20;
18.03.2023;0,13;
19.03.2023;0,00;
20.03.2023;0,00;
21.03.2023;0,00;
22.03.2023;0,00;
23.03.2023;0,00;
24.03.2023;0,03;
25.03.2023;0,00;
26.03.2023;0,00;
27.03.2023;0,00;
28.03.2023;0,00;
29.03.2023;0,00;
30.03.2023;0,00;
31.03.2023;0,00;
01.04.2023;0,10;
02.04.2023;0,00;
03.04.2023;0,00;
04.04.2023;0,00;
05.04.2023;0,00;
06.04.2023;0,00;
07.04.2023;0,00;
08.04.2023;0,00;
09.04.2023;0,00;
10.04.2023;0,00;
11.04.2023;0,00;
12.04.2023;0,10;
13.04.2023;0,05;
14.04.2023;0,10;
15.04.2023;0,00;
16.04.2023;0,00;
17.04.2023;0,00;
18.04.2023;0,00;
19.04.2023;0,00;
20.04.2023;0,00;
21.04.2023;0,25;
22.04.2023;0,05;
23.04.2023;0,05;
24.04.2023;0,03;
25.04.2023;0,00;
26.04.2023;0,00;
27.04.2023;0,00;
28.04.2023;0,00;
29.04.2023;0,00;
30.04.2023;0,00;
01.05.2023;0,00;
02.05.2023;0,00;
03.05.2023;0,10;
04.05.2023;0,15;
05.05.2023;0,03;
